gene_dim,prepare_epochs,train_epochs,score_epochs,batch_size,learning_rate,n_critic,w_rec,w_adv,w_gp,roc_auc,ap,f1
3000,50,20,20,128,0.0001,2,1,1,1,0.8560354562133177,0.9113530438006302,0.7919881305637982
3000,50,20,20,128,0.0001,2,1,1,10,0.8436384644980081,0.9040259990457953,0.7845697329376855
3000,50,20,20,128,0.0001,2,1,1,20,0.9179703083982116,0.9433341144803709,0.8335311572700297
3000,50,20,20,128,0.0001,2,1,1,30,0.8487443883593071,0.9037922833948415,0.808160237388724
3000,50,20,20,128,0.0001,2,1,1,40,0.9062409474535795,0.8857818512395286,0.8694362017804155
3000,50,20,20,128,0.0001,2,1,1,50,0.8911975602715102,0.9212798262984971,0.8259643916913947
3000,50,20,20,128,0.0001,2,10,1,1,0.8295064858133621,0.8876653940897186,0.7810089020771513
3000,50,20,20,128,0.0001,2,10,1,10,0.8420117953898117,0.8193982049432014,0.8124629080118695
3000,50,20,20,128,0.0001,2,10,1,20,0.7467476624105002,0.7386520405868406,0.7001483679525222
3000,50,20,20,128,0.0001,2,10,1,30,0.9355616293607945,0.9329193213303475,0.8927299703264095
3000,50,20,20,128,0.0001,2,10,1,40,0.8103667197499234,0.859809891985867,0.7712166172106825
3000,50,20,20,128,0.0001,2,10,1,50,0.917860539628077,0.9385279643433827,0.8385756676557864
3000,50,20,20,128,0.0001,2,20,1,1,0.8974780700108618,0.9359635562166806,0.8250741839762611
3000,50,20,20,128,0.0001,2,20,1,10,0.9178257178122093,0.9374737765914503,0.8522255192878339
3000,50,20,20,128,0.0001,2,20,1,20,0.9344558741051268,0.9489079003556844,0.8663204747774481
3000,50,20,20,128,0.0001,2,20,1,30,0.9432921475304279,0.9599333809655153,0.8713649851632048
3000,50,20,20,128,0.0001,2,20,1,40,0.8758144477515164,0.8618551868685844,0.8307121661721069
3000,50,20,20,128,0.0001,2,20,1,50,0.9574594983757324,0.970605584931135,0.908753709198813
3000,50,20,20,128,0.0001,2,30,1,1,0.901762666810757,0.9293690880692278,0.8347181008902077
3000,50,20,20,128,0.0001,2,30,1,10,0.9456403436753126,0.9626883537581676,0.8691394658753709
3000,50,20,20,128,0.0001,2,30,1,20,0.9350214659484166,0.948923178782062,0.8734421364985163
3000,50,20,20,128,0.0001,2,30,1,30,0.9343636788447962,0.9413549682217128,0.8774480712166172
3000,50,20,20,128,0.0001,2,30,1,40,0.9248336958104253,0.9325325011396375,0.8623145400593472
3000,50,20,20,128,0.0001,2,30,1,50,0.9264486700918125,0.9491282307778721,0.8396142433234421
3000,50,20,20,128,0.0001,2,40,1,1,0.9450595923345976,0.9625623780858572,0.8774480712166172
3000,50,20,20,128,0.0001,2,40,1,10,0.9373934269820042,0.9557078847177494,0.8642433234421365
3000,50,20,20,128,0.0001,2,40,1,20,0.9149838123584424,0.9492242534965798,0.8642433234421365
3000,50,20,20,128,0.0001,2,40,1,30,0.9492318312422734,0.9611224806800189,0.8700296735905044
3000,50,20,20,128,0.0001,2,40,1,40,0.9218425468556048,0.9375776427573084,0.8495548961424332
3000,50,20,20,128,0.0001,2,40,1,50,0.9354293965169178,0.9515931300886291,0.8655786350148368
3000,50,20,20,128,0.0001,2,50,1,1,0.9389365687603283,0.9564036056421248,0.8611275964391691
3000,50,20,20,128,0.0001,2,50,1,10,0.9461029960270109,0.9636078936258318,0.8780415430267062
3000,50,20,20,128,0.0001,2,50,1,20,0.9424292068981218,0.9575007384370484,0.8725519287833828
3000,50,20,20,128,0.0001,2,50,1,30,0.9471442608794408,0.9608013880393584,0.8635014836795251
3000,50,20,20,128,0.0001,2,50,1,40,0.9434708720013087,0.9593081945721997,0.8621661721068249
3000,50,20,20,128,0.0001,2,50,1,50,0.9393355061946308,0.9458909593768999,0.8893175074183977
